window,contract_number,build_id,build_label,samples,wins,win_rate,avg_damage,damage_variance,avg_dps,dps_variance,avg_required_dps,avg_required_dps_gap,avg_damage_gap,avg_blocked_damage,avg_absorbed_damage,avg_crit_negated_damage,avg_dodges,avg_cleanses,avg_interrupts,avg_stun_seconds
generated_duration,6,assassin,Assassin,80,0,0.0,1369.1,226593.14,30.0267,58.3125,251.1326,-221.106,-3877.975,68.8977,66.8875,31.2086,0.0,1.5125,2.5625,0.0
fixed_30s,6,blade_dancer,Blade Dancer,80,0,0.0,666.325,61431.1444,22.2108,68.2568,251.1326,-228.9218,-4580.75,121.9216,0.0,50.7886,0.0,3.1125,0.0,0.0
generated_duration,6,blade_dancer,Blade Dancer,80,0,0.0,1065.55,221265.5725,23.2922,65.1153,251.1326,-227.8404,-4181.525,190.3373,0.0,82.0901,0.0,4.85,0.0,0.0
fixed_30s,6,shadow,Shadow,80,0,0.0,730.4125,22776.3423,24.3471,25.307,251.1326,-226.7856,-4516.6625,71.341,30.6241,29.2286,0.0,1.7375,0.0,0.0
generated_duration,6,shadow,Shadow,80,0,0.0,1154.4625,149631.3486,25.2704,30.564,251.1326,-225.8623,-4092.6125,108.7126,48.2875,51.9085,0.0,2.775,0.0,0.0
fixed_30s,6,thief,Thief,80,0,0.0,571.5125,140021.6248,19.0504,155.5796,251.1326,-232.0822,-4675.5625,81.3594,0.0,33.6068,0.0,1.175,3.7125,0.0
generated_duration,6,thief,Thief,80,0,0.0,871.1375,406809.0936,19.0884,161.5654,251.1326,-232.0442,-4375.9375,126.1493,0.0,54.4712,0.0,1.75,5.725,0.0
fixed_30s,7,assassin,Assassin,80,0,0.0,829.225,48036.5244,27.6408,53.3739,344.2551,-316.6142,-6353.225,29.6231,67.5,15.2335,0.0,1.1375,0.9375,0.0
generated_duration,7,assassin,Assassin,80,0,0.0,1208.9375,138814.3836,28.2197,54.5243,344.2551,-316.0354,-5973.5125,42.5899,104.5375,19.538,0.0,1.7375,1.4875,0.0
fixed_30s,7,blade_dancer,Blade Dancer,80,0,0.0,769.275,85241.9994,25.6425,94.7133,344.2551,-318.6126,-6413.175,84.5072,0.0,37.6557,0.0,3.125,0.0,0.0
generated_duration,7,blade_dancer,Blade Dancer,80,0,0.0,1151.525,313140.0744,26.0704,94.175,344.2551,-318.1847,-6030.925,115.817,0.0,49.7055,0.0,4.6375,0.0,0.0
fixed_30s,7,shadow,Shadow,80,0,0.0,769.55,20746.7225,25.6517,23.0519,344.2551,-318.6034,-6412.9,49.1971,47.0613,24.529,0.0,1.775,0.0,0.0
generated_duration,7,shadow,Shadow,80,0,0.0,1178.8375,175042.8111,26.8878,31.9797,344.2551,-317.3673,-6003.6125,66.2572,74.1668,37.1536,0.0,2.6375,0.0,0.0
fixed_30s,7,thief,Thief,80,0,0.0,741.6875,153943.5898,24.7229,171.0484,344.2551,-319.5322,-6440.7625,56.4541,0.0,29.765,0.0,1.5625,2.35,0.0
generated_duration,7,thief,Thief,80,0,0.0,1110.9125,479733.9048,24.9019,173.7457,344.2551,-319.3531,-6071.5375,77.5209,0.0,31.7104,0.0,2.2875,3.275,0.0
fixed_30s,8,assassin,Assassin,80,0,0.0,859.375,49747.8844,28.6458,55.2754,442.3809,-413.7351,-8200.4,34.6409,59.7375,14.5618,0.0,1.2375,0.95,0.0
generated_duration,8,assassin,Assassin,80,0,0.0,1233.7625,170024.2311,28.3718,59.3473,442.3809,-414.0091,-7826.0125,52.3571,91.325,30.6619,0.0,1.8375,1.65,0.0
fixed_30s,8,blade_dancer,Blade Dancer,80,0,0.0,726.1875,68141.0273,24.2063,75.7123,442.3809,-418.1747,-8333.5875,99.2279,0.0,40.0493,0.0,3.4875,0.0,0.0
generated_duration,8,blade_dancer,Blade Dancer,80,0,0.0,1104.8,256134.485,24.9858,74.9619,442.3809,-417.3952,-7954.975,143.1436,0.0,69.0432,0.0,5.1875,0.0,0.0
fixed_30s,8,shadow,Shadow,80,0,0.0,758.2875,22393.7048,25.2762,24.8819,442.3809,-417.1047,-8301.4875,57.7241,39.358,29.7996,0.0,1.9625,0.0,0.0
